Player,Squad,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp,Total_Att,Total_Cmp%
André,Wolves,159,174,91.4,2721,73,77,94.8,74,78,94.9,11,16,68.8
Jaidon Anthony,Burnley,103,159,64.8,1545,60,79,75.9,34,46,73.9,5,18,27.8
Alphonse Areola,West Ham,68,106,64.2,1703,17,17,100.0,37,37,100.0,14,52,26.9
Jhon Arias,Wolves,101,123,82.1,1672,52,58,89.7,44,55,80.0,5,10,50.0
Harrison Armstrong,Everton,0,0,,0,0,0,,0,0,,0,0,
Tolu Arokodare,Wolves,11,22,50.0,127,8,12,66.7,2,7,28.6,0,0,
Yasin Ayari,Brighton,161,198,81.3,2691,75,84,89.3,70,82,85.4,11,22,50.0
Benoît Badiashile,Chelsea,53,57,93.0,989,22,23,95.7,24,24,100.0,7,10,70.0
Dilane Bakwa,Nott'ham Forest,60,81,74.1,902,36,40,90.0,18,23,78.3,4,12,33.3
Carlos Baleba,Brighton,83,107,77.6,1573,37,42,88.1,29,38,76.3,15,21,71.4
Daniel Ballard,Sunderland,61,71,85.9,1208,19,20,95.0,36,40,90.0,5,10,50.0
Harvey Barnes,Newcastle Utd,68,92,73.9,1038,43,49,87.8,21,28,75.0,4,9,44.4
Thierno Barry,Everton,23,33,69.7,272,15,18,83.3,6,11,54.5,0,1,0.0
Calvin Bassey,Fulham,377,428,88.1,6800,147,163,90.2,197,208,94.7,29,47,61.7
Altay Bayındır,Manchester Utd,122,192,63.5,3438,30,30,100.0,52,53,98.1,40,109,36.7
Jean-Ricner Bellegarde,Wolves,74,97,76.3,1408,27,31,87.1,37,45,82.2,9,17,52.9
Rodrigo Bentancur,Tottenham,204,235,86.8,3483,86,98,87.8,106,111,95.5,9,16,56.3
Sander Berge,Fulham,266,305,87.2,4420,123,137,89.8,128,137,93.4,13,16,81.3
Lucas Bergvall,Tottenham,101,143,70.6,1736,47,56,83.9,41,52,78.8,10,28,35.7
Beto,Everton,26,48,54.2,304,18,30,60.0,7,15,46.7,0,0,
Marco Bizot,Aston Villa,46,67,68.7,1272,10,10,100.0,22,22,100.0,14,35,40.0
Oscar Bobb,Manchester City,103,115,89.6,1438,67,71,94.4,28,31,90.3,4,7,57.1
Lamare Bogarde,Aston Villa,92,99,92.9,1300,57,59,96.6,30,32,93.8,3,4,75.0
Jayden Bogle,Leeds United,181,238,76.1,2968,88,102,86.3,72,88,81.8,13,27,48.1
Sven Botman,Newcastle Utd,118,140,84.3,2250,37,43,86.0,70,75,93.3,10,19,52.6
Jarrod Bowen,West Ham,119,163,73.0,1758,73,84,86.9,35,42,83.3,6,14,42.9
Conor Bradley,Liverpool,157,182,86.3,2395,90,96,93.8,57,64,89.1,8,15,53.3
Brian Brobbey,Sunderland,4,7,57.1,45,3,4,75.0,1,1,100.0,0,1,0.0
Armando Broja,Burnley,3,3,100.0,42,2,2,100.0,1,1,100.0,0,0,
David Brooks,Bournemouth,145,210,69.0,2202,75,87,86.2,52,74,70.3,10,29,34.5
Jacob Bruun Larsen,Burnley,43,54,79.6,548,32,36,88.9,10,13,76.9,0,3,0.0
Emi Buendía,Aston Villa,91,114,79.8,1325,56,62,90.3,24,29,82.8,6,11,54.5
Hugo Bueno,Wolves,160,214,74.8,2872,67,81,82.7,76,89,85.4,16,35,45.7
Santiago Bueno,Wolves,94,110,85.5,1847,23,28,82.1,62,66,93.9,7,11,63.6
Facundo Buonanotte,Chelsea,20,22,90.9,251,15,16,93.8,3,4,75.0,1,1,100.0
Dan Burn,Newcastle Utd,183,262,69.8,3530,64,83,77.1,99,126,78.6,17,41,41.5
Sam Byram,Leeds United,1,1,100.0,12,1,1,100.0,0,0,,0,0,
Moisés Caicedo,Chelsea,400,439,91.1,6314,215,223,96.4,166,177,93.8,16,25,64.0
Tom Cairney,Fulham,87,94,92.6,1549,35,37,94.6,42,46,91.3,8,9,88.9
Riccardo Calafiori,Arsenal,241,301,80.1,3883,119,135,88.1,102,121,84.3,13,28,46.4
Dominic Calvert-Lewin,Leeds United,44,63,69.8,546,28,39,71.8,12,15,80.0,1,2,50.0
Fabio Carvalho,Brentford,19,25,76.0,289,11,14,78.6,3,4,75.0,4,6,66.7
Casemiro,Manchester Utd,173,212,81.6,3173,77,85,90.6,68,77,88.3,25,35,71.4
Matty Cash,Aston Villa,267,337,79.2,4550,119,124,96.0,118,140,84.3,22,55,40.0
Timothy Castagne,Fulham,109,137,79.6,1656,59,66,89.4,41,51,80.4,6,13,46.2
Trevoh Chalobah,Chelsea,377,419,90.0,6942,139,148,93.9,208,218,95.4,28,44,63.6
Rayan Cherki,Manchester City,53,64,82.8,736,31,34,91.2,17,19,89.5,2,6,33.3
Federico Chiesa,Liverpool,13,18,72.2,155,9,10,90.0,4,6,66.7,0,1,0.0
Ryan Christie,Bournemouth,72,96,75.0,1214,38,41,92.7,28,38,73.7,5,9,55.6
Samuel Chukwueze,Fulham,18,25,72.0,270,10,11,90.9,6,8,75.0,1,3,33.3
Nathaniel Clyne,Crystal Palace,3,3,100.0,28,3,3,100.0,0,0,,0,0,
Séamus Coleman,Everton,0,0,,0,0,0,,0,0,,0,0,
Nathan Collins,Brentford,194,231,84.0,4152,44,52,84.6,126,134,94.0,24,43,55.8
Lewis Cook,Bournemouth,1,2,50.0,13,1,1,100.0,0,0,,0,1,0.0
Diego Coppola,Brighton,3,3,100.0,71,1,1,100.0,1,1,100.0,1,1,100.0
Marc Cucurella,Chelsea,308,353,87.3,5112,146,159,91.8,136,147,92.5,18,32,56.3
Jorge Cuenca,Fulham,51,58,87.9,868,20,20,100.0,28,28,100.0,2,7,28.6
Josh Cullen,Burnley,217,266,81.6,3706,114,124,91.9,73,93,78.5,26,38,68.4
Matheus Cunha,Manchester Utd,75,91,82.4,987,41,45,91.1,20,27,74.1,5,7,71.4
Diogo Dalot,Manchester Utd,139,185,75.1,2468,65,74,87.8,57,79,72.2,15,27,55.6
